id,image_id,category_id,bbox,area,iscrowd,name
1768,289343,18,"[473.07, 395.93, 38.65, 28.67]",702.10575,0,dog
1773,61471,18,"[272.1, 200.23, 151.97, 279.77]",27718.4763,0,dog
2551,472375,18,"[124.71, 196.18, 372.85, 356.81]",78969.3169,0,dog
3186,520301,18,"[112.71, 154.82, 367.29, 479.35]",108316.6652,0,dog
3419,579321,18,"[200.61, 89.65, 400.22, 251.02]",75864.5353,0,dog
3658,494869,18,"[0.0, 421.09, 154.53, 208.61]",16932.1351,0,dog
4594,554002,18,"[427.58, 77.87, 188.88, 285.91]",32002.703,0,dog
7544,78823,18,"[197.97, 117.22, 170.45, 222.07]",16694.4047,0,dog
7915,419974,18,"[61.68, 389.34, 130.77, 138.47]",9496.3299,0,dog
7981,404484,18,"[86.93, 90.76, 82.5, 74.54]",2613.7727,0,dog
8032,329219,18,"[297.73, 252.34, 60.21, 108.45]",4290.2909,0,dog
9024,68078,18,"[29.0, 492.01, 72.51, 134.73]",5478.6852,0,dog
9940,170893,18,"[270.55, 80.55, 367.51, 393.7]",58488.1488,0,dog
10176,65485,18,"[387.99, 97.43, 84.99, 81.29]",2991.9213,0,dog
12182,498286,18,"[0.97, 9.8, 467.44, 463.58]",179462.9809,0,dog
12414,424162,18,"[76.39, 294.14, 158.96, 184.78]",14402.8376,0,dog
12582,61108,18,"[136.73, 179.48, 114.34, 137.22]",8769.4575,0,dog
13714,67213,18,"[402.7, 58.79, 197.92, 201.84]",15711.62035,0,dog
13886,365207,18,"[464.19, 273.52, 93.72, 82.24]",4792.91305,0,dog
14105,131273,18,"[120.24, 0.32, 359.76, 596.04]",137612.2043,0,dog
14189,279278,18,"[506.13, 157.73, 72.8, 81.47]",3278.3082,0,dog
18782,482100,64,"[245.5, 4.46, 36.3, 46.81]",1340.04895,0,potted plant
18979,540502,64,"[6.59, 93.28, 34.3, 34.66]",316.96555,0,potted plant
19679,127182,64,"[314.46, 261.42, 70.64, 100.13]",3350.2961,0,potted plant
19751,565776,64,"[120.66, 161.06, 36.35, 55.39]",1057.8741,0,potted plant
20026,575970,64,"[561.01, 183.34, 33.0, 41.34]",886.9597,0,potted plant
20490,462614,64,"[126.74, 240.09, 109.25, 87.4]",5087.935,0,potted plant
20865,407614,64,"[365.9, 0.0, 157.59, 126.98]",10378.08895,0,potted plant
20979,522007,64,"[38.74, 0.0, 165.74, 333.63]",27667.5173,0,potted plant
21771,78823,64,"[58.45, 81.69, 131.53, 125.9]",9473.41725,0,potted plant
21865,226984,64,"[290.13, 9.4, 91.57, 48.19]",3215.90305,0,potted plant
22328,37777,64,"[102.49, 118.47, 7.9, 17.31]",88.52115,0,potted plant
22674,491216,64,"[269.55, 180.58, 29.42, 62.6]",1164.9265,0,potted plant
22806,136355,64,"[513.2, 84.47, 90.76, 70.59]",4235.0086,0,potted plant
23289,404484,64,"[207.4, 69.19, 106.79, 82.39]",4366.82765,0,potted plant
23607,529568,64,"[0.0, 351.56, 70.13, 150.94]",6862.19365,0,potted plant
24390,306733,64,"[282.09, 253.6, 183.94, 101.97]",10146.3308,0,potted plant
24776,42276,64,"[146.9, 16.69, 105.64, 88.52]",4964.1782,0,potted plant
24957,482100,64,"[270.43, 0.0, 52.4, 29.41]",925.66725,0,potted plant
24980,370818,64,"[0.0, 208.62, 28.13, 67.81]",911.12115,0,potted plant
26036,226984,64,"[450.61, 13.2, 64.28, 57.38]",2612.4555,0,potted plant
26288,491216,64,"[207.18, 171.48, 38.54, 74.14]",1490.4621,0,potted plant
26324,136355,64,"[328.17, 0.96, 237.96, 186.15]",13725.7423,0,potted plant
26341,136355,64,"[326.2, 123.56, 55.63, 63.12]",1963.64135,0,potted plant
26700,136355,64,"[448.77, 175.76, 64.45, 123.0]",2933.8099,0,potted plant
26955,482100,64,"[158.28, 0.0, 51.8, 34.76]",1280.0254,0,potted plant
27423,491216,64,"[166.18, 185.54, 20.86, 58.02]",740.07615,0,potted plant
27879,491216,64,"[235.88, 198.4, 38.65, 45.84]",553.30195,0,potted plant
29131,464476,72,"[279.11, 209.81, 206.02, 160.44]",31935.48505,0,tv
29249,68833,72,"[97.28, 202.37, 60.28, 39.91]",2293.6756,0,tv
29555,433915,72,"[1.08, 1.72, 574.7, 471.39]",265862.408,0,tv
29829,149222,72,"[3.88, 0.0, 287.98, 251.13]",61254.97715,0,tv
30246,17379,72,"[145.26, 214.29, 165.39, 107.87]",16606.20565,0,tv
30416,361586,72,"[352.62, 201.36, 31.35, 38.76]",924.03715,0,tv
31127,127987,72,"[24.14, 0.0, 323.24, 235.69]",49844.5477,0,tv
32126,186632,72,"[2.88, 213.21, 166.83, 93.49]",14354.77055,0,tv
33192,440475,72,"[263.24, 172.56, 98.61, 60.75]",5342.8333,0,tv
33206,368900,72,"[465.19, 225.78, 166.91, 146.17]",22939.91935,0,tv
33253,9772,72,"[426.66, 91.19, 89.88, 95.56]",6369.42945,0,tv
33612,404484,72,"[25.74, 45.78, 18.47, 72.24]",1038.6786,0,tv
34096,525083,72,"[265.67, 222.31, 26.48, 14.71]",367.8971,0,tv
34111,383443,72,"[235.21, 123.92, 48.11, 40.09]",1660.72825,0,tv
34164,240940,72,"[105.37, 2.58, 185.95, 138.43]",24382.6573,0,tv
34569,435003,72,"[171.68, 109.17, 163.76, 152.31]",19162.03525,0,tv
35170,149222,72,"[280.34, 1.78, 141.35, 195.84]",23216.832,0,tv
36197,17899,16,"[204.72, 584.58, 14.54, 39.44]",198.93215,0,bird
36828,70774,16,"[438.41, 63.47, 18.11, 10.84]",74.0077,0,bird
38591,508602,16,"[149.85, 80.88, 147.03, 176.62]",8599.8,0,bird
38752,123585,16,"[212.41, 200.69, 96.56, 190.34]",11792.44755,0,bird
43489,123585,16,"[0.0, 45.36, 175.42, 105.52]",9683.24315,0,bird
43705,123585,16,"[333.21, 432.16, 146.79, 155.13]",13048.9583,0,bird
46374,157807,17,"[103.34, 155.99, 375.33, 221.3]",39045.91345,0,cat
46514,109055,17,"[128.0, 91.56, 341.68, 354.06]",37144.54945,0,cat
46653,23272,17,"[186.29, 73.39, 125.81, 72.58]",6015.00325,0,cat
46758,134096,17,"[214.71, 106.01, 425.29, 367.48]",111525.4599,0,cat
46767,501523,17,"[208.52, 112.52, 289.03, 285.93]",54217.6598,0,cat
46947,125850,17,"[110.32, 19.09, 468.84, 425.36]",154178.0502,0,cat
46955,284623,17,"[36.62, 0.0, 427.91, 412.58]",107839.315,0,cat
47049,245764,17,"[194.21, 176.51, 300.75, 303.49]",43442.5372,0,cat
47170,466156,17,"[185.65, 85.6, 167.92, 117.28]",7006.39775,0,cat
47325,402473,17,"[231.91, 85.21, 408.09, 389.4]",81931.5188,0,cat
47902,10363,17,"[245.51, 108.3, 226.13, 135.68]",16892.10195,0,cat
47906,172330,17,"[244.04, 219.25, 177.93, 114.97]",9770.9933,0,cat
47942,211042,17,"[160.88, 185.82, 125.86, 356.62]",19567.4298,0,cat
48979,361621,17,"[46.06, 1.92, 549.82, 422.2]",140577.3047,0,cat
49229,554291,17,"[211.7, 78.24, 281.65, 338.71]",42001.1876,0,cat
49615,227044,17,"[121.03, 40.86, 514.14, 388.97]",76462.66975,0,cat
49758,530099,17,"[161.29, 179.03, 266.94, 120.16]",14450.4852,0,cat
49884,223747,17,"[39.78, 222.8, 444.0, 147.2]",40249.82545,0,cat
49931,312340,17,"[139.84, 111.51, 266.88, 232.15]",38731.4308,0,cat
50420,209747,17,"[170.88, 59.71, 170.13, 223.34]",23516.37805,0,cat
50497,153217,17,"[17.2, 315.05, 143.02, 174.2]",13397.6669,0,cat
50690,558073,17,"[122.43, 111.29, 242.35, 197.31]",26778.52435,0,cat
51419,47121,17,"[325.16, 71.23, 314.84, 322.06]",64620.48085,0,cat
51451,176778,17,"[264.39, 397.8, 73.4, 242.2]",9421.9734,0,cat
51485,568690,17,"[130.75, 181.68, 156.91, 143.14]",17439.97685,0,cat
51885,176857,17,"[217.33, 139.78, 46.51, 81.39]",2761.12125,0,cat
52282,107087,17,"[49.69, 83.53, 210.52, 264.01]",27540.2801,0,cat
52654,491216,17,"[179.73, 423.32, 91.19, 92.69]",3279.9993,0,cat
52697,260925,17,"[70.5, 236.11, 495.55, 190.76]",48159.0567,0,cat
52709,304560,17,"[0.0, 101.15, 452.3, 319.43]",71184.80495,0,cat
52833,327769,17,"[201.47, 116.07, 250.92, 143.78]",19957.80455,0,cat
53299,7386,18,"[180.91, 281.14, 38.4, 45.48]",1200.7044,0,dog
54220,17178,19,"[374.97, 173.6, 58.36, 93.66]",3310.14595,0,horse
54251,261888,19,"[283.64, 233.67, 31.02, 58.38]",1046.42705,0,horse
54937,29187,19,"[211.18, 83.42, 252.37, 384.35]",44573.41925,0,horse
56874,368335,19,"[154.48, 218.62, 113.11, 270.35]",16368.68795,0,horse
57131,17178,19,"[328.04, 160.9, 49.48, 99.88]",2554.38365,0,horse
57276,367680,19,"[140.57, 148.8, 33.54, 60.12]",699.67795,0,horse
57569,234807,19,"[129.11, 218.26, 87.7, 190.38]",9950.6408,0,horse
57620,261888,19,"[240.3, 230.71, 29.58, 62.5]",1147.76465,0,horse
57996,507975,19,"[2.06, 70.19, 422.2, 369.55]",54666.50675,0,horse
58138,17178,19,"[256.27, 201.32, 57.69, 33.09]",921.38105,0,horse
58242,507975,19,"[242.01, 69.13, 226.17, 398.17]",15650.5892,0,horse
58916,17178,19,"[458.11, 175.37, 53.59, 36.05]",943.4261,0,horse
60301,234807,19,"[511.26, 168.52, 128.74, 293.01]",28810.6973,0,horse
60611,234807,19,"[3.17, 238.5, 83.77, 52.6]",2064.8586,0,horse
61543,338304,20,"[168.9, 413.03, 74.55, 104.02]",3827.00015,0,sheep
63970,338304,20,"[65.0, 473.44, 170.39, 166.56]",15380.1607,0,sheep
64835,338304,20,"[191.3, 422.49, 143.78, 175.54]",11724.7052,0,sheep
65807,338304,20,"[88.82, 387.02, 118.4, 101.72]",3912.7804,0,sheep
70383,555050,21,"[221.72, 170.33, 55.82, 53.12]",1463.3628,0,cow
70836,206135,21,"[38.71, 304.3, 81.72, 151.61]",8033.763,0,cow
71700,206135,21,"[172.18, 302.22, 61.71, 137.56]",5299.57945,0,cow
73242,206135,21,"[116.64, 307.91, 59.23, 133.03]",5428.24855,0,cow
73908,206135,21,"[232.28, 297.15, 68.59, 138.53]",5731.7029,0,cow
78795,117914,44,"[16.07, 245.79, 13.42, 27.79]",271.4504,0,bottle
78863,465129,44,"[578.17, 333.86, 12.09, 34.93]",335.5908,0,bottle
79139,306733,44,"[586.23, 324.18, 16.15, 38.93]",505.44805,0,bottle
79459,506310,44,"[46.72, 252.43, 75.77, 114.94]",4776.4398,0,bottle
79569,319696,44,"[361.7, 90.14, 51.73, 132.17]",5279.6164,0,bottle
79571,501523,44,"[461.42, 6.19, 85.68, 138.33]",8386.6301,0,bottle
79735,102707,44,"[323.77, 186.89, 155.3, 405.37]",41343.12335,0,bottle
79865,435880,44,"[479.17, 87.75, 18.1, 45.11]",599.32655,0,bottle
79889,442009,44,"[0.0, 210.46, 14.12, 33.11]",343.0397,0,bottle
80016,519569,44,"[141.4, 306.52, 12.1, 54.34]",497.00745,0,bottle
80071,178028,44,"[89.91, 302.87, 19.35, 50.85]",792.4303,0,bottle
80087,446574,44,"[205.67, 35.33, 16.94, 45.52]",504.1469,0,bottle
80154,290768,44,"[264.59, 150.25, 11.2, 42.31]",386.20535,0,bottle
80188,182611,44,"[236.03, 249.58, 19.44, 42.63]",675.74685,0,bottle
80198,266206,44,"[255.05, 300.37, 10.84, 31.65]",251.16145,0,bottle
80293,228214,44,"[123.98, 384.72, 64.89, 168.98]",5705.89805,0,bottle
80342,453302,44,"[60.72, 30.31, 209.04, 208.06]",1605.7769,0,bottle
80352,293390,44,"[392.28, 21.21, 26.87, 69.71]",1408.2552,0,bottle
80495,384808,44,"[20.63, 253.93, 24.39, 94.3]",1940.9472,0,bottle
80561,512476,44,"[81.29, 157.38, 52.43, 137.17]",5534.27875,0,bottle
80610,425226,44,"[230.78, 366.42, 43.72, 27.48]",560.85975,0,bottle
80644,292005,44,"[185.17, 465.61, 17.09, 45.2]",524.6394,0,bottle
80785,10363,44,"[147.18, 28.8, 12.66, 37.61]",404.15645,0,bottle
80856,425226,44,"[326.36, 0.35, 15.8, 41.37]",507.4168,0,bottle
80979,480122,44,"[132.49, 233.2, 20.6, 30.9]",512.90555,0,bottle
80989,419974,44,"[337.22, 375.89, 83.23, 156.41]",6353.6957,0,bottle
81241,262440,44,"[58.06, 362.48, 13.4, 28.46]",270.09305,0,bottle
81272,226984,44,"[177.3, 213.8, 27.95, 72.83]",1408.697,0,bottle
81517,197796,44,"[213.38, 96.46, 16.08, 74.72]",889.7253,0,bottle
81729,226984,44,"[129.48, 199.97, 27.64, 55.28]",1110.49055,0,bottle
82291,500464,44,"[264.63, 323.91, 13.76, 46.8]",455.58,0,bottle
82378,481386,44,"[41.03, 472.49, 45.11, 37.81]",1152.11795,0,bottle
82445,397133,44,"[217.62, 240.54, 38.99, 57.75]",1481.38065,0,bottle
82449,327769,44,"[114.22, 11.42, 53.92, 127.02]",4570.449,0,bottle
82527,425226,44,"[299.65, 2.09, 21.77, 42.18]",635.4227,0,bottle
